121 3 1
X1 X2 Y

-5	-5	1.632063333
-5	-4	-3.76076841
-5	-3	-5.69596702
-5	-2	-2.39431982
-5	-1	3.108653981
-5	0	5.753545648
-5	1	3.108653981
-5	2	-2.39431982
-5	3	-5.69596702
-5	4	-3.76076841
-5	5	1.632063333
-4	-5	1.288057499
-4	-4	-2.96807474
-4	-3	-4.495372751
-4	-2	-1.889645786
-4	-1	2.4534128
-4	0	4.540814972
-4	1	2.4534128
-4	2	-1.889645786
-4	3	-4.495372751
-4	4	-2.96807474
-4	5	1.288057499
-3	-5	-0.240182459
-3	-4	0.553453158
-3	-3	0.838246495
-3	-2	0.35235987
-3	-1	-0.457484795
-3	0	-0.846720048
-3	1	-0.457484795
-3	2	0.35235987
-3	3	0.838246495
-3	4	0.553453158
-3	5	-0.240182459
-2	-5	-1.547599772
-2	-4	3.566138775
-2	-3	5.401185778
-2	-2	2.270407486
-2	-1	-2.947772979
-2	0	-5.455784561
-2	1	-2.947772979
-2	2	2.270407486
-2	3	5.401185778
-2	4	3.566138775
-2	5	-1.547599772
-1	-5	-1.432160991
-1	-4	3.300132848
-1	-3	4.998299766
-1	-2	2.10105293
-1	-1	-2.72789228
-1	0	-5.048825909
-1	1	-2.72789228
-1	2	2.10105293
-1	3	4.998299766
-1	4	3.300132848
-1	5	-1.432160991
0	-5	0
0	-4	0
0	-3	0
0	-2	0
0	-1	0
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
1	-5	1.432160991
1	-4	-3.300132848
1	-3	-4.998299766
1	-2	-2.10105293
1	-1	2.72789228
1	0	5.048825909
1	1	2.72789228
1	2	-2.10105293
1	3	-4.998299766
1	4	-3.300132848
1	5	1.432160991
2	-5	1.547599772
2	-4	-3.566138775
2	-3	-5.401185778
2	-2	-2.270407486
2	-1	2.947772979
2	0	5.455784561
2	1	2.947772979
2	2	-2.270407486
2	3	-5.401185778
2	4	-3.566138775
2	5	1.547599772
3	-5	0.240182459
3	-4	-0.553453158
3	-3	-0.838246495
3	-2	-0.35235987
3	-1	0.457484795
3	0	0.846720048
3	1	0.457484795
3	2	-0.35235987
3	3	-0.838246495
3	4	-0.553453158
3	5	0.240182459
4	-5	-1.288057499
4	-4	2.96807474
4	-3	4.495372751
4	-2	1.889645786
4	-1	-2.4534128
4	0	-4.540814972
4	1	-2.4534128
4	2	1.889645786
4	3	4.495372751
4	4	2.96807474
4	5	-1.288057499
5	-5	-1.632063333
5	-4	3.76076841
5	-3	5.69596702
5	-2	2.39431982
5	-1	-3.108653981
5	0	-5.753545648
5	1	-3.108653981
5	2	2.39431982
5	3	5.69596702
5	4	3.76076841
5	5	-1.632063333

1
4 4
0 1 2 3 4 5 6 12
