100 2 1
x1 Y
-50	6127451
-49	5649505
-48	5200081
-47	4778021
-46	4382191
-45	4011481
-44	3664805
-43	3341101
-42	3039331
-41	2758481
-40	2497561
-39	2255605
-38	2031671
-37	1824841
-36	1634221
-35	1458941
-34	1298155
-33	1151041
-32	1016801
-31	894661
-30	783871
-29	683705
-28	593461
-27	512461
-26	440051
-25	375601
-24	318505
-23	268181
-22	224071
-21	185641
-20	152381
-19	123805
-18	99451
-17	78881
-16	61681
-15	47461
-14	35855
-13	26521
-12	19141
-11	13421
-10	9091
-9	5905
-8	3641
-7	2101
-6	1111
-5	521
-4	205
-3	61
-2	11
-1	1
0	1
1	5
2	31
3	121
4	341
5	781
6	1555
7	2801
8	4681
9	7381
10	11111
11	16105
12	22621
13	30941
14	41371
15	54241
16	69905
17	88741
18	111151
19	137561
20	168421
21	204205
22	245411
23	292561
24	346201
25	406901
26	475255
27	551881
28	637421
29	732541
30	837931
31	954305
32	1082401
33	1222981
34	1376831
35	1544761
36	1727605
37	1926221
38	2141491
39	2374321
40	2625641
41	2896405
42	3187591
43	3500201
44	3835261
45	4193821
46	4576955
47	4985761
48	5421361
49	5884901

1
4 0
0 1 2 3
