1 2 50
x y1 y2
0             0             0
    0.5000    0.0500    0.0000
    1.0000    0.1000    0.0000
    1.5000    0.1500    0.0000
    2.0000    0.2000    0.0004
    2.5000    0.2500    0.0026
    3.0000    0.3000    0.0126
    3.5000    0.3500    0.0465
    4.0000    0.3999    0.1324
    4.5000    0.4489    0.2852
    5.0000    0.4408    0.4130
    5.5000    0.4004    0.3746
    6.0000    0.4124    0.3467
    6.5000    0.4254    0.3635
    7.0000    0.4212    0.3767
    7.5000    0.4154    0.3692
    8.0000    0.4180    0.3648
    8.5000    0.4198    0.3683
    9.0000    0.4186    0.3696
    9.5000    0.4180    0.3679
   10.0000    0.4187    0.3679
   10.5000    0.4187    0.3685
   11.0000    0.4184    0.3683
   11.5000    0.4186    0.3680
   12.0000    0.4188    0.3683
   12.5000    0.4184    0.3685
   13.0000    0.4184    0.3679
   13.5000    0.4187    0.3683
   14.0000    0.4185    0.3684
   14.5000    0.4185    0.3681
   15.0000    0.4186    0.3682
   15.5000    0.4186    0.3686
   16.0000    0.4184    0.3681
   16.5000    0.4188    0.3679
   17.0000    0.4187    0.3687
   17.5000    0.4180    0.3680
   18.0000    0.4188    0.3676
   18.5000    0.4190    0.3692
   19.0000    0.4183    0.3683
   19.5000    0.4185    0.3678
   20.0000    0.4187    0.3684
   20.5000    0.4185    0.3683
   21.0000    0.4185    0.3680
   21.5000    0.4187    0.3683
   22.0000    0.4185    0.3685
   22.5000    0.4184    0.3680
   23.0000    0.4188    0.3680
   23.5000    0.4185    0.3686
   24.0000    0.4180    0.3680
   24.5000    0.4190    0.3678
   25.0000    0.4188    0.3688
