/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 11: 
(*(+(x1)(/(0.67821)(+(-(*(-(*(-(+(+(0.30616)(-(*(x1)(/(0.70125)(0.46541)))(0.03452)))(x1))(x1))(x1))(0.46785))(0.97778))(0.62288))(0.72420))))(0.28391)) | Numero de nos: 29 | Erro: 434176666894336.0000000000000000000000000 |
(0.09421) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(0.09745) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(-(/(*(*(+(*(*(+(+(+(+(0.28196)(x1))(*(0.50084)(*(/(0.90506)(x1))(x1))))(0.37791))(x1))(0.27561))(0.22312))(0.64544))(x1))(x1))(0.37803))(0.96963)) | Numero de nos: 29 | Erro: 433720024629248.0000000000000000000000000 |
(/(-(0.63729)(0.71096))(x1)) | Numero de nos: 5 | Erro: 434176633339904.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(+(*(0.35142)(*(0.60701)(-(/(+(-(-(/(x1)(0.72158))(0.36952))(+(0.09220)(/(*(-(*(0.62084)(x1))(x1))(0.69738))(x1))))(x1))(x1))(x1))))(0.86087)) | Numero de nos: 29 | Erro: 434176163577856.0000000000000000000000000 |
(-(x1)(/(/(0.87616)(*(-(0.39512)(x1))(0.43297)))(*(x1)(x1)))) | Numero de nos: 13 | Erro: 434176901775360.0000000000000000000000000 |
(/(*(-(0.86026)(0.00208))(/(+(0.53847)(*(/(+(x1)(0.30122))(-(+(-(+(x1)(*(x1)(-(x1)(x1))))(0.50215))(x1))(x1)))(x1)))(0.02213)))(x1)) | Numero de nos: 29 | Erro: 434166902554624.0000000000000000000000000 |
(-(*(+(-(-(-(x1)(-(x1)(+(x1)(x1))))(x1))(+(x1)(0.03110)))(/(-(-(*(0.78680)(+(0.49824)(x1)))(0.58910))(0.47056))(0.18494)))(x1))(x1)) | Numero de nos: 29 | Erro: 432276848508928.0000000000000000000000000 |
(+(/(-(0.59239)(*(x1)(-(+(-(*(*(*(*(-(0.22419)(0.58556))(-(-(x1)(0.11414))(x1)))(x1))(0.01700))(x1))(0.44511))(x1))(0.63454))))(0.42500))(x1)) | Numero de nos: 29 | Erro: 435227390377984.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(+(+(0.64666)(/(x1)(x1)))(/(*(*(0.56688)(0.24543))(*(0.33006)(*(-(0.45936)(+(*(*(0.15421)(x1))(0.36671))(0.47655)))(-(*(x1)(0.88925))(x1)))))(0.08087))) | Numero de nos: 29 | Erro: 434174586519552.0000000000000000000000000 |
(/(x1)(+(*(x1)(*(/(+(0.41508)(/(/(-(x1)(0.77462))(+(*(-(-(/(x1)(x1))(0.72060))(0.46043))(x1))(x1)))(0.70131)))(0.44462))(x1)))(x1))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(-(/(-(*(/(*(-(/(0.45109)(x1))(/(0.94882)(0.90026)))(+(/(x1)(*(0.44624)(x1)))(x1)))(0.64946))(/(-(0.34260)(x1))(x1)))(x1))(0.20441))(0.16755)) | Numero de nos: 29 | Erro: 434174821400576.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(0.20865) | Numero de nos: 1 | Erro: 434176599785472.0000000000000000000000000 |
(*(+(/(0.12903)(*(*(/(/(x1)(/(-(0.63021)(*(x1)(-(0.17029)(+(0.63097)(+(x1)(x1))))))(x1)))(*(0.05399)(x1)))(0.71789))(x1)))(0.04926))(x1)) | Numero de nos: 29 | Erro: 434176666894336.0000000000000000000000000 |
(*(x1)(0.12290)) | Numero de nos: 3 | Erro: 434176666894336.0000000000000000000000000 |
(0.81085) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(/(x1)(+(/(+(+(x1)(-(-(x1)(/(/(x1)(-(-(0.90451)(x1))(+(x1)(*(0.34742)(0.09043)))))(0.01306)))(0.18516)))(x1))(0.13767))(x1)))(0.19593)) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(+(*(-(+(x1)(-(0.75912)(0.85104)))(+(*(+(/(0.17322)(0.66662))(*(-(/(x1)(-(*(x1)(0.15851))(x1)))(0.38316))(0.40986)))(x1))(x1)))(x1))(x1)) | Numero de nos: 29 | Erro: 434005337964544.0000000000000000000000000 |
(*(+(0.77563)(+(+(+(+(0.43861)(+(/(x1)(x1))(0.83050)))(x1))(*(0.09058)(x1)))(/(/(+(-(x1)(+(x1)(0.13370)))(x1))(0.10981))(0.48592))))(x1)) | Numero de nos: 29 | Erro: 425367185653760.0000000000000000000000000 |
(0.96176) | Numero de nos: 1 | Erro: 434176364904448.0000000000000000000000000 |
(/(+(x1)(/(0.04105)(-(/(*(-(0.86062)(x1))(-(+(0.62584)(+(*(+(x1)(-(0.93301)(x1)))(*(0.61412)(x1)))(x1)))(x1)))(0.07312))(x1))))(x1)) | Numero de nos: 29 | Erro: 434176364904448.0000000000000000000000000 |
(+(/(*(-(0.04306)(+(0.48607)(x1)))(0.56963))(+(*(*(x1)(+(-(+(+(x1)(x1))(x1))(0.90921))(*(*(0.93057)(x1))(0.96225))))(0.29740))(x1)))(0.70537)) | Numero de nos: 29 | Erro: 434176499122176.0000000000000000000000000 |
(*(x1)(0.60524)) | Numero de nos: 3 | Erro: 434176734003200.0000000000000000000000000 |
(0.98526) | Numero de nos: 1 | Erro: 434176364904448.0000000000000000000000000 |
(0.63201) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(+(+(*(+(x1)(*(-(*(*(-(0.10816)(/(-(+(x1)(+(0.74416)(-(0.71844)(0.98978))))(x1))(0.20731)))(0.21796))(0.91302))(0.37944))(x1)))(0.26829))(x1))(0.17652)) | Numero de nos: 29 | Erro: 434176901775360.0000000000000000000000000 |
(-(-(*(+(-(+(-(*(/(*(/(*(x1)(-(-(0.98477)(x1))(0.23270)))(0.46837))(x1))(0.19553))(x1))(x1))(x1))(x1))(x1))(x1))(x1))(x1)) | Numero de nos: 29 | Erro: 106579338847210960000.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(+(/(*(*(-(-(0.54936)(*(x1)(/(/(+(/(*(*(0.76919)(/(x1)(x1)))(0.24351))(x1))(0.47047))(x1))(x1))))(0.74209))(0.65975))(0.67067))(x1))(0.73547)) | Numero de nos: 29 | Erro: 434176499122176.0000000000000000000000000 |
